,pct_change,acc_pct_change,pos_change_in_a_row,neg_change_in_a_row,RSI_14,Close_Minus_SuperTrend,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Close_Minus_EMA_200,Close_Minus_EMA_100,Close_Minus_EMA_50,Close_Minus_EMA_20,IS_EMA_Ribbon,Minute_Number,is_win
10402,-0.007,-0.019,0,3,52.55,0.13000000000000078,0.099,-0.007,0.107,0.506,0.253,0.126,-0.004,1,29.0,0
10403,0.005,0.005,1,0,55.4,0.17999999999999972,0.091,-0.013,0.103,0.55,0.297,0.169,0.041,1,30.0,0
10404,0.002,0.007,2,0,56.53,0.1999999999999993,0.085,-0.015,0.1,0.565,0.31,0.182,0.056,1,31.0,0
10405,-0.009,-0.009,0,1,50.36,0.10999999999999943,0.072,-0.022,0.094,0.47,0.216,0.088,-0.031,1,32.0,0
10406,0.007,0.007,1,0,54.52,0.17999999999999972,0.066,-0.022,0.089,0.534,0.28,0.152,0.035,1,33.0,0
10407,0.006,0.013000000000000001,2,0,57.78,0.2400000000000002,0.066,-0.018,0.084,0.588,0.334,0.204,0.086,1,34.0,0
10408,-0.003,-0.003,0,1,55.63,0.20999999999999908,0.063,-0.017,0.08,0.553,0.298,0.167,0.051,1,35.0,0
10409,-0.001,-0.004,0,2,54.9,0.1999999999999993,0.059,-0.017,0.076,0.538,0.282,0.151,0.037,1,36.0,0
10410,0.001,0.001,1,0,55.53,0.20999999999999908,0.056,-0.016,0.072,0.542,0.286,0.155,0.042,1,37.0,0
10411,-0.001,-0.001,0,1,54.71,0.1999999999999993,0.052,-0.016,0.068,0.527,0.271,0.139,0.029,1,38.0,0
10412,-0.008,-0.009000000000000001,0,2,48.51,0.11999999999999922,0.042,-0.021,0.062,0.442,0.187,0.057,-0.046,1,39.0,0
10413,-0.005,-0.014000000000000002,0,3,45.07,0.07000000000000028,0.03,-0.026,0.056,0.388,0.134,0.006,-0.087,1,40.0,0
10414,-0.009,-0.023,0,4,40.16,-0.29999999999999893,0.013,-0.034,0.047,0.305,0.053,-0.071,-0.151,1,41.0,0
10415,-0.014,-0.037,0,5,33.74,-0.33999999999999986,-0.01,-0.046,0.036,0.174,-0.075,-0.193,-0.254,1,42.0,0
10416,-0.009,-0.046,0,6,30.5,-0.3100000000000005,-0.035,-0.056,0.022,0.093,-0.152,-0.262,-0.302,0,43.0,0
10417,0.0,0.0,0,0,30.5,-0.27000000000000135,-0.054,-0.06,0.007,0.092,-0.149,-0.252,-0.273,0,44.0,0
